package,dependency,version
chendrix/elm-tetris,maxsnew/IO,0.1.5 <= v < 2.0.0
chendrix/elm-rogue,maxsnew/IO,0.1.5 <= v < 2.0.0
bewatts/xelm,maxsnew/IO,0.1.5 <= v < 2.0.0
justalisteningman/xelm,maxsnew/IO,0.1.5 <= v < 2.0.0
mweiss/elm-study-app,maxsnew/IO,1.0.0 <= v < 2.0.0
jivagoalves/elm-csv-parser,maxsnew/IO,1.0.0 <= v < 2.0.0
psfblair/elm-css,maxsnew/IO,1.0.1 <= v < 2.0.0
psfblair/klee-css,maxsnew/IO,1.0.1 <= v < 2.0.0
deadfoxygrandpa/Elm-Test,maxsnew/IO,1.0.1 <= v < 2.0.0
trezona-lecomte/elm-test,maxsnew/IO,1.0.1 <= v < 2.0.0
jessitron/Elm-Test,maxsnew/IO,1.0.1 <= v < 2.0.0
laszlopandy/Elm-Test,maxsnew/IO,1.0.1 <= v < 2.0.0
aryszka/vacskamati,maxsnew/IO,1.0.1 <= v < 2.0.0
robertjlooby/elm-bowling-game-kata,maxsnew/IO,1.0.1 <= v < 2.0.0
JustusAdam/betablogger,sporto/erl,8.0.0 <= v < 9.0.0
marcosh/elm-joindin,sporto/erl,9.0.1 <= v < 10.0.0
oliverbarnes/participate,sporto/erl,10.0.1 <= v < 11.0.0
oliverbarnes/participate-new-client,sporto/erl,10.0.1 <= v < 11.0.0
cacay/elm-router,sporto/erl,11.0.0 <= v < 12.0.0
mike-engel/bkmrkd,sporto/erl,11.0.0 <= v < 12.0.0
kongus99/Aggregator,sporto/erl,13.0.0 <= v < 14.0.0
matthewbpt/record_collection_elm,sporto/hop,2.1.2 <= v < 3.0.0
weltenwort/scrum-tools,sporto/hop,3.0.0 <= v < 4.0.0
OpenAnsible/webapp,sporto/hop,5.1.0 <= v < 6.0.0
oliverbarnes/participate,sporto/hop,6.0.0 <= v < 7.0.0
oliverbarnes/participate-new-client,sporto/hop,6.0.0 <= v < 7.0.0
deadfoxygrandpa/portfolio,sporto/hop,6.0.0 <= v < 7.0.0
cloud8421/music-search-buddy,Skinney/fnv,1.0.3 <= v < 2.0.0
erkal/kite,Skinney/fnv,1.0.3 <= v < 2.0.0
xarvh/elm-styled-html,Skinney/fnv,1.0.3 <= v < 2.0.0
gurdiga/xo.elm,Skinney/fnv,1.0.4 <= v < 2.0.0
h2io/elm-modal,h2io/elm-ui,2.0.5 <= v < 3.0.0
h2io/elm-app-skeleton,h2io/elm-ui,2.0.5 <= v < 3.0.0
kfish/dreambuggy,here4/here4,3.9.0 <= v < 4.0.0
asonix/elm-text-editor,elm-lang/dom,1.0.0 <= v < 2.0.0
parametric-svg/parametric-svg.surge.sh,elm-lang/dom,1.0.0 <= v < 2.0.0
jinjor/office-maker,elm-lang/dom,1.0.0 <= v < 2.0.0
WorksApplications/office-maker,elm-lang/dom,1.0.0 <= v < 2.0.0
joshmh/selectize,elm-lang/dom,1.1.0 <= v < 2.0.0
SuperManEver/elm-hn,elm-lang/dom,1.1.0 <= v < 2.0.0
dotcs/brownbags,elm-lang/dom,1.1.0 <= v < 2.0.0
rune-b/xwing-cards,elm-lang/dom,1.1.0 <= v < 2.0.0
aotarola/whiz,elm-lang/dom,1.1.0 <= v < 2.0.0
chancyk/elm-search-menu,elm-lang/dom,1.1.1 <= v < 2.0.0
chyno/elmcoderunner,elm-lang/dom,1.1.1 <= v < 2.0.0
mez/elm-todo,elm-lang/dom,1.1.1 <= v < 2.0.0
thebritican/goat,elm-lang/dom,1.1.1 <= v < 2.0.0
rohanorton/elm-reorderable-list,elm-lang/dom,1.1.1 <= v < 2.0.0
discoCommando/intelligentMetronome,elm-lang/dom,1.1.1 <= v < 2.0.0
bitterjug/elm-wpc,elm-lang/dom,1.1.1 <= v < 2.0.0
erik/rain,elm-lang/dom,1.1.1 <= v < 2.0.0
1602/elm-json-schema,elm-lang/dom,1.1.1 <= v < 2.0.0
maxf/waterfall,elm-lang/dom,1.1.1 <= v < 2.0.0
erlandsona/caldwell,elm-lang/dom,1.1.1 <= v < 2.0.0
elm-browser/core,elm-lang/dom,1.1.1 <= v < 2.0.0
stormont/elm-animation-examples,elm-lang/dom,1.1.1 <= v < 2.0.0
zalando/elm-street-404,elm-lang/dom,1.1.1 <= v < 2.0.0
kongus99/Aggregator,elm-lang/dom,1.1.1 <= v < 2.0.0
jreut/elm-yinsh,elm-lang/dom,1.1.1 <= v < 2.0.0
grierson/elm-todo,elm-lang/dom,1.1.1 <= v < 2.0.0
gustf/elm-todo-plugin,elm-lang/dom,1.1.1 <= v < 2.0.0
paramanders/elm-twitch-chat,elm-lang/dom,1.1.1 <= v < 2.0.0
korczis/the-scratch,elm-lang/dom,1.1.1 <= v < 2.0.0
Guid75/picross-elm,elm-lang/dom,1.1.1 <= v < 2.0.0
Baransu/elm-editor,elm-lang/dom,1.1.1 <= v < 2.0.0
gargoris/stonebreaker,elm-lang/dom,1.1.1 <= v < 2.0.0
dillonkearns/mobster,elm-lang/dom,1.1.1 <= v < 2.0.0
erlandsona/A-Em,elm-lang/dom,1.1.1 <= v < 2.0.0
sebn/moka,elm-lang/dom,1.1.1 <= v < 2.0.0
billstclair/spokes,elm-lang/dom,1.1.1 <= v < 2.0.0
vjousse/the-transcriber,elm-lang/dom,1.1.1 <= v < 2.0.0
davejmac/elm-histogram,elm-lang/dom,1.1.1 <= v < 2.0.0
elm-lang/navigation,elm-lang/dom,1.1.1 <= v < 2.0.0
tilgram/tilgram-frontend,elm-lang/dom,1.1.1 <= v < 2.0.0
rtfeldman/elm-spa-example,elm-lang/dom,1.1.1 <= v < 2.0.0
rtfeldman/elm-todomvc,elm-lang/dom,1.1.1 <= v < 2.0.0
evancz/elm-todomvc,elm-lang/dom,1.1.1 <= v < 2.0.0
gdotdesign/elm-ui,elm-lang/dom,1.1.1 <= v < 2.0.0
fredcy/localstorage,elm-lang/dom,1.1.1 <= v < 2.0.0
stemarsh/site,elm-lang/dom,1.1.1 <= v < 2.0.0
cbenz/noteminer,elm-lang/dom,1.1.1 <= v < 2.0.0
jakubrauch/window,elm-lang/dom,1.1.1 <= v < 2.0.0
bgourlie/rs-nes-debugger-frontend,elm-lang/dom,1.1.1 <= v < 2.0.0
